Date,Price,Open,High,Low,Vol.,Change %
01/31/2020,149.33,148.88,149.68,148.81,14.79M,+0.58%
01/30/2020,148.47,148.69,149.31,148.01,9.12M,+0.01%
01/29/2020,148.46,147.7,148.56,147.61,5.02M,+0.54%
01/28/2020,147.66,148.36,148.56,147.53,7.54M,-0.89%
01/27/2020,148.99,149.24,149.32,148.46,9.99M,+0.68%
01/24/2020,147.98,146.9,148.38,146.89,9.92M,+0.58%
01/23/2020,147.12,147.0,147.62,146.62,8.42M,+0.22%
01/22/2020,146.79,146.68,146.81,146.38,4.78M,+0.03%
01/21/2020,146.74,145.77,146.86,145.55,6.09M,+0.11%
01/17/2020,146.58,146.51,146.99,146.31,11.12M,+0.18%
01/16/2020,146.31,146.27,146.47,145.75,6.07M,-0.16%
01/15/2020,146.54,146.21,146.73,145.82,6.51M,+0.58%
01/14/2020,145.69,145.42,145.81,145.08,6.61M,-0.09%
01/13/2020,145.82,146.35,146.38,145.78,7.60M,-0.74%
01/10/2020,146.91,146.22,146.99,146.17,6.18M,+0.60%
01/09/2020,146.03,146.07,146.41,145.44,10.30M,-0.57%
01/08/2020,146.86,148.49,148.61,146.14,22.28M,-0.75%
01/07/2020,147.97,147.57,148.14,147.43,8.40M,+0.39%
01/06/2020,147.39,148.44,148.48,146.95,14.41M,+1.05%
01/03/2020,145.86,145.75,146.32,145.4,12.29M,+1.33%
01/02/2020,143.95,143.86,144.21,143.4,7.74M,+0.73%
